concept,context_id,period_start,period_end,instant_date,dimension_count,dimensions_json,unit,normalized_value,value_type,occurrence_count,unique_fact_ids,first_fact_number
us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,i318d180bade84250ab5889b877c752f0_D20200101-20201231,2020-01-01,2020-12-31,,0,[],iso4217:USD,33180000000,numeric,2,2,1098
us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,i200b191ad76944bd8349bcd33dd299b0_D20210101-20211231,2021-01-01,2021-12-31,,0,[],iso4217:USD,47284000000,numeric,2,2,1097
us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,ibd1882f348764f108a3caaa3a66c21ea_D20220101-20221231,2022-01-01,2022-12-31,,0,[],iso4217:USD,28819000000,numeric,2,2,1096
us-gaap:IncomeTaxExpenseBenefit,i318d180bade84250ab5889b877c752f0_D20200101-20201231,2020-01-01,2020-12-31,,0,[],iso4217:USD,4034000000,numeric,2,2,1126
us-gaap:IncomeTaxExpenseBenefit,i200b191ad76944bd8349bcd33dd299b0_D20210101-20211231,2021-01-01,2021-12-31,,0,[],iso4217:USD,7914000000,numeric,2,2,1125
us-gaap:IncomeTaxExpenseBenefit,ibd1882f348764f108a3caaa3a66c21ea_D20220101-20221231,2022-01-01,2022-12-31,,0,[],iso4217:USD,5619000000,numeric,2,2,1124
us-gaap:IndefiniteLivedIntangibleAssetsExcludingGoodwill,i3f3338fa63ff4b9dbad011578a19788e_I20211231,,,2021-12-31,0,[],iso4217:USD,266000000,numeric,2,2,948
us-gaap:IndefiniteLivedIntangibleAssetsExcludingGoodwill,i06727f1e850f48839f9fbb5214dcd53a_I20221231,,,2022-12-31,0,[],iso4217:USD,382000000,numeric,2,2,946
us-gaap:IntangibleAssetsNetExcludingGoodwill,i3f3338fa63ff4b9dbad011578a19788e_I20211231,,,2021-12-31,0,[],iso4217:USD,634000000,numeric,2,2,64
us-gaap:IntangibleAssetsNetExcludingGoodwill,i06727f1e850f48839f9fbb5214dcd53a_I20221231,,,2022-12-31,0,[],iso4217:USD,897000000,numeric,2,2,63
us-gaap:LongTermDebtNoncurrent,i06727f1e850f48839f9fbb5214dcd53a_I20221231,,,2022-12-31,0,[],iso4217:USD,9923000000,numeric,2,2,83
us-gaap:LossContingencyNewClaimsFiledNumber,id1d9b548f3234816a231a60d3e0db612_D20180727-20180727,2018-07-27,2018-07-27,,0,[],meta:claim,,unparsed_numeric,2,2,1027
us-gaap:MarketableSecuritiesCurrent,i3f3338fa63ff4b9dbad011578a19788e_I20211231,,,2021-12-31,0,[],iso4217:USD,31397000000,numeric,2,2,50
us-gaap:MarketableSecuritiesCurrent,i06727f1e850f48839f9fbb5214dcd53a_I20221231,,,2022-12-31,0,[],iso4217:USD,26057000000,numeric,2,2,49
us-gaap:NetIncomeLoss,i1ff557f8d83e410186db659bade567e1_D20200101-20201231,2020-01-01,2020-12-31,,1,"[{""dimension"": ""us-gaap:StatementClassOfStockAxis"", ""member"": ""us-gaap:CommonClassAMember"", ""type"": ""explicitmember""}]",iso4217:USD,24607000000,numeric,2,2,512
us-gaap:NetIncomeLoss,i2063d5a947f04b499f3398b6aa7bb404_D20200101-20201231,2020-01-01,2020-12-31,,1,"[{""dimension"": ""us-gaap:StatementClassOfStockAxis"", ""member"": ""us-gaap:CommonClassBMember"", ""type"": ""explicitmember""}]",iso4217:USD,4539000000,numeric,2,2,513
